epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,5326.62,0.63757,0.36391,1.06659,0.94376,0.91958,0.9639,0.78544,0.67176,0.40138,1.05069,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,5492.32,0.62283,0.34992,1.05442,0.93922,0.92356,0.9642,0.78574,0.67249,0.39788,1.05046,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,5658.86,0.61468,0.34272,1.04937,0.94137,0.92115,0.96435,0.78866,0.66658,0.39928,1.04675,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,5824.24,0.60258,0.3302,1.04175,0.94152,0.92201,0.96456,0.78895,0.66447,0.39432,1.04518,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,5989.98,0.59032,0.32115,1.03467,0.94161,0.92625,0.96492,0.78939,0.66413,0.38943,1.04615,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,6155.85,0.5799,0.30987,1.02394,0.94257,0.9237,0.96458,0.78921,0.66416,0.38937,1.04718,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,6323.14,0.56986,0.30353,1.01716,0.9426,0.92416,0.96434,0.78931,0.66542,0.38852,1.0493,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,6493.12,0.56027,0.29518,1.01283,0.94313,0.92277,0.96403,0.78858,0.66543,0.38852,1.0489,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,6662.12,0.55154,0.28775,1.00636,0.94402,0.92309,0.9639,0.78855,0.66542,0.38742,1.04984,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,6830.2,0.54438,0.28275,1.00048,0.94328,0.92343,0.96403,0.78822,0.66547,0.3863,1.05184,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
