epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.033,1.11989,3.77022,1.54777,0.01465,0.84224,0.062,0.03584,0.91077,4.0726,1.39108,0.00018228,0.00018228,0.00018228
2,780.684,1.04091,2.87223,1.43297,0.46742,0.0571,0.10565,0.06709,0.99123,3.51463,1.40522,0.000297093,0.000297093,0.000297093
3,1162.42,0.99438,2.48751,1.38548,0.44757,0.19551,0.12833,0.08086,1.11429,3.30065,1.50726,0.000337394,0.000337394,0.000337394
4,1544.41,0.94564,2.24899,1.35419,0.36819,0.25826,0.14569,0.09386,1.03329,3.09209,1.45441,0.000238728,0.000238728,0.000238728
5,1926.12,0.91796,2.05236,1.30441,0.37052,0.28863,0.16096,0.10923,0.9293,3.01658,1.32891,0.000122304,0.000122304,0.000122304
